date,1. open,2. high,3. low,4. close,5. volume,Thomson Reuters,1. open,2. high,3. low,4. close,5. volume,Facebook,1. open,2. high,3. low,4. close,5. volume,Apple,1. open,2. high,3. low,4. close,5. volume,Amazon,1. open,2. high,3. low,4. close,5. volume,Netflix,1. open,2. high,3. low,4. close,5. volume,GM,1. open,2. high,3. low,4. close,5. volume,Starbucks,1. open,2. high,3. low,4. close,5. volume,Nike,1. open,2. high,3. low,4. close,5. volume,Boeing,1. open,2. high,3. low,4. close,5. volume,McDonalds
2013-04-30,32.4400,33.7500,31.0850,33.4900,23113400,,25.6300,28.1000,25.1500,27.7690,738509200,,441.9000,445.2500,385.1000,442.7800,391553200,,266.9800,275.8000,248.5600,253.8100,76916200,,190.9500,224.3000,159.0000,216.0700,122076600,,27.6500,30.9700,27.1100,30.8400,259040400,,57.1300,60.9200,56.6500,60.8400,106024600,,59.0000,63.7650,57.9800,63.6000,68945331,,85.6000,93.3800,83.8000,91.4100,106380800,,99.4100,103.7000,98.3800,102.1400,102269300,
2013-03-28,30.5000,32.8900,30.1600,32.4800,25515200,,27.0500,28.6750,24.7200,25.5800,727180500,,438.0000,469.9500,419.0000,442.6600,327745600,,263.2700,277.4000,252.0700,266.4900,58505700,,187.1100,197.0600,176.1600,189.2800,74344100,,26.8300,29.3000,26.7500,27.8200,214216700,,54.6300,58.9700,54.0000,56.9500,110056200,,54.4200,60.2500,53.2700,59.0100,98896800,,76.7000,86.8400,76.1700,85.8500,105390300,,95.6800,99.7800,94.8700,99.6900,92727700,
2013-02-28,30.8200,31.1800,29.3300,30.5800,21880000,,31.0100,31.0200,26.3400,27.2500,957639800,,459.1100,484.9400,437.6600,441.4000,333715500,,268.9300,274.3000,255.1100,264.2700,68661700,,170.0000,197.6200,162.7800,188.0800,107938800,,28.3900,29.3600,26.1900,27.1500,175897627,,56.5700,57.1000,52.5200,54.8500,96350500,,54.4600,55.9000,53.5000,54.4600,61673900,,74.4900,77.9250,74.2300,76.9000,101429400,,95.5800,96.7800,93.1900,95.9000,98048800,
2013-01-31,29.3900,31.0600,29.1000,30.6400,15801800,,27.4400,32.5063,27.4200,30.9810,1675851700,,553.8200,555.0000,435.0000,455.4900,468693700,,256.0800,284.7200,253.2600,265.5000,84226400,,95.2100,177.2500,90.6900,165.2400,141701300,,29.4100,30.6800,26.6200,28.0900,250771200,,54.5900,57.2700,53.6800,56.1200,141741900,,52.4000,55.5700,51.4000,54.0500,74634100,,76.5500,78.0200,72.6800,73.8700,191804200,,89.4000,95.2900,89.2500,95.2900,110374200,
2012-12-31,27.4900,29.4000,27.3100,29.0600,14976200,,27.9999,28.8800,25.1500,26.6197,1191832200,,593.6500,594.5900,501.2300,532.1729,433312600,,252.5400,263.1100,242.7500,250.8700,60871200,,81.8500,97.8000,74.5000,92.5900,85462300,,26.0600,28.9000,24.4000,28.8300,223646000,,52.1400,54.9000,49.5600,53.6300,154788400,,97.6600,106.2300,50.5900,51.6000,52137600,,74.4100,76.5599,72.9300,75.3600,90048100,,87.4200,90.8500,86.2700,88.2100,114044000,
2012-11-30,28.2600,28.7600,26.7100,27.5400,16428600,,21.0800,28.0000,18.8700,28.0000,1527490200,,598.2200,603.0000,505.7501,585.2800,461780400,,234.2300,252.6500,218.1800,252.0500,67213600,,77.8500,84.5600,74.5000,81.7100,71146800,,25.5300,26.2700,23.3900,25.8800,168867200,,45.7400,52.3050,45.3900,51.8700,166357800,,91.9000,100.3300,89.6500,97.4800,47242100,,70.5900,74.8600,69.3000,74.2800,101603600,,87.0000,88.1300,83.3100,87.0400,133363500,
2012-10-31,28.6000,29.3500,27.8900,28.2600,16535100,,22.0800,24.2500,18.8000,21.1100,1100938300,,671.5000,676.7500,587.7000,595.3200,433672500,,255.4000,261.9000,222.9200,232.8931,81568500,,54.6000,84.9500,54.3400,79.2394,159187800,,23.0000,25.7200,22.6700,25.5000,202982900,,50.9300,51.3000,44.2700,45.9000,206379000,,94.9100,98.1000,90.3200,91.3800,49569300,,69.8600,75.0000,69.2000,70.4400,92093600,,92.1100,94.1600,86.3700,86.8000,135455700,
2012-09-28,28.3800,29.9300,27.5825,28.8600,18125800,,18.0800,23.3700,17.5500,21.6600,1058643700,,665.7600,705.0700,656.0000,667.1050,328535900,,248.2700,264.1100,244.6600,254.3200,63570500,,58.0000,61.4190,53.0500,54.4400,91304500,,21.2500,25.1500,21.0200,22.7500,173840800,,49.4500,52.0000,48.9900,50.7100,137083600,,97.1900,100.9200,92.7900,94.9100,63119500,,71.5000,73.2700,69.0300,69.5950,103075800,,89.5100,94.0000,88.7050,91.7500,98697200,
2012-08-31,28.5000,30.2000,27.5000,28.4500,19708200,,21.5000,22.4500,18.0300,18.0580,1151944900,,615.9050,680.8700,600.2500,665.2400,295578800,,234.1400,250.0000,228.6600,248.2700,60192400,,57.4300,66.6500,52.8100,59.7200,85858400,,19.7800,22.1400,18.9300,21.3500,182791200,,45.4700,50.0600,43.0400,49.6100,208933700,,93.5100,99.2900,91.0400,97.3600,53185100,,74.3200,74.6900,70.0200,71.4000,85793400,,89.4900,90.4300,86.1500,89.4900,116808900,
2012-07-31,28.4500,29.7700,27.3100,28.3100,19265400,,31.2500,32.8800,21.6100,21.7100,520189700,,584.7300,619.8700,570.0000,610.7600,318201800,,229.3000,240.7400,212.6100,233.3000,77340200,,68.7700,86.6500,56.1400,56.8500,141149300,,19.7000,21.2100,18.7200,19.7100,162586300,,53.4400,54.2750,45.0900,45.2800,166625200,,88.3900,97.7500,88.0300,93.3500,69456500,,74.2100,75.9600,70.8500,73.9100,86964700,,88.4100,93.3200,87.6200,89.3600,125472600,
2012-06-29,27.2400,28.8800,26.2000,28.4500,20385900,,28.8920,33.4500,25.5200,31.0950,667910500,,569.1600,590.0000,548.5000,584.0000,280565200,,208.4400,228.3500,206.3700,228.3500,65745600,,60.9500,70.4800,60.7000,68.4850,71344500,,21.6500,23.3400,19.2400,19.7200,188800300,,53.1600,55.9700,51.0300,53.3200,148947301,,106.2900,109.9100,85.1000,87.7800,84859700,,68.6700,74.3700,66.8200,74.3000,88430100,,87.4700,90.7600,85.9200,88.5300,153888700,
2012-05-31,30.1500,30.6600,27.3600,27.4700,26421400,,0,0,0,0,0,0,584.9000,596.7600,522.1800,577.7300,396655200,,229.4000,232.9700,207.1100,212.9100,92774300,,80.2900,82.9800,62.3650,63.4400,112694400,,23.0400,23.4750,21.0900,22.2000,210504400,,57.5100,58.4300,51.4300,54.8900,176972300,,111.9100,114.8100,104.2700,108.1800,51253400,,76.5900,77.8301,68.9300,69.6100,88091800,,97.2300,98.0100,89.2600,89.3400,132371000,
2012-04-30,28.9900,30.0000,27.4700,29.8200,22114000,,0,0,0,0,0,0,601.8300,644.0000,555.0000,583.9800,557106800,,198.0200,233.8400,183.6500,231.9000,110535400,,114.8000,114.8000,79.7600,80.1400,120322000,,26.0300,27.0300,22.8000,23.0000,205100300,,56.0300,62.0000,55.9600,57.3700,211880800,,108.4200,112.0000,105.9300,111.8700,44502300,,74.0000,77.5700,70.5900,76.8000,85289300,,97.8200,99.5000,94.1300,97.4500,132852000,
2012-03-30,29.0500,30.2500,28.1400,28.9000,30858500,,0,0,0,0,0,0,548.1700,621.4500,516.2210,599.5500,556583500,,179.8900,209.8500,176.5800,202.5100,112975100,,109.1000,123.4800,102.5300,115.0400,116380100,,26.1900,26.8000,24.3810,25.6500,175310000,,48.6900,56.5500,48.1000,55.8900,151305300,,108.8900,112.9700,106.0700,108.4400,57710100,,74.9600,75.8100,72.3000,74.3700,89633300,,99.2800,100.4400,95.1300,98.1000,136419600,
2012-02-29,27.6800,29.2400,26.3900,28.9800,30131400,,0,0,0,0,0,0,458.4100,547.6100,453.9800,542.4400,406019800,,173.8100,193.5700,172.0000,179.6900,146580400,,121.4100,133.4300,106.6400,110.7300,143239100,,24.3300,27.6800,24.0700,26.0200,262142400,,48.3400,49.3600,47.4100,48.5600,89455100,,104.4100,108.2800,102.5740,107.9200,37118400,,74.9600,76.7400,74.3000,74.9500,84337600,,99.4600,101.2900,98.2600,99.2800,88933500,
